 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  79,   projectile: electron
 #  Kinetic energy = 6.00000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  9.000E-03  6.16850E-09  1.24531E-06  2.02572E-07  9.01305E-11  1.46620E-11  9.88739E-10  1.77309E-08
  9.250E-03  6.51596E-09  1.24350E-06  2.02543E-07  9.24999E-11  1.50671E-11  1.06633E-09  1.51646E-08
  9.500E-03  6.87293E-09  1.24166E-06  2.02512E-07  9.48589E-11  1.54720E-11  1.13414E-09  1.26826E-08
  9.750E-03  7.23942E-09  1.23977E-06  2.02481E-07  9.72071E-11  1.58767E-11  1.19193E-09  1.02912E-08
  1.000E-02  7.61544E-09  1.23784E-06  2.02449E-07  9.95444E-11  1.62812E-11  1.23956E-09  7.99636E-09
  1.250E-02  1.18991E-08  1.21641E-06  2.02087E-07  1.22276E-10  2.03151E-11  1.16573E-09  8.74247E-09
  1.500E-02  1.71347E-08  1.19152E-06  2.01647E-07  1.43729E-10  2.43250E-11  3.36337E-10  1.34103E-08
  1.750E-02  2.33223E-08  1.16377E-06  2.01131E-07  1.63779E-10  2.83067E-11  6.21103E-10  8.69699E-09
  2.000E-02  3.04617E-08  1.13380E-06  2.00542E-07  1.82355E-10  3.22557E-11  1.06978E-09  3.53102E-10
  2.250E-02  3.85531E-08  1.10217E-06  1.99881E-07  1.99426E-10  3.61680E-11  7.52512E-10  5.89219E-09
  2.500E-02  4.75965E-08  1.06942E-06  1.99151E-07  2.15001E-10  4.00399E-11  6.92242E-11  6.97229E-09
  2.750E-02  5.75917E-08  1.03602E-06  1.98354E-07  2.29116E-10  4.38678E-11  8.10286E-10  3.42775E-09
  3.000E-02  6.85389E-08  1.00237E-06  1.97494E-07  2.41826E-10  4.76482E-11  9.61649E-10  1.63427E-09
  3.250E-02  8.04380E-08  9.68799E-07  1.96573E-07  2.53204E-10  5.13782E-11  4.31473E-10  4.78003E-09
  3.500E-02  9.32891E-08  9.35569E-07  1.95594E-07  2.63328E-10  5.50548E-11  3.99076E-10  4.32125E-09
  3.750E-02  1.07092E-07  9.02889E-07  1.94561E-07  2.72282E-10  5.86756E-11  9.42715E-10  1.07277E-09
  4.000E-02  1.21847E-07  8.70917E-07  1.93475E-07  2.80150E-10  6.22382E-11  8.14713E-10  2.48920E-09
  4.250E-02  1.37554E-07  8.39770E-07  1.92341E-07  2.87013E-10  6.57405E-11  1.02801E-10  3.98673E-09
  4.500E-02  1.54213E-07  8.09528E-07  1.91162E-07  2.92953E-10  6.91807E-11  6.90841E-10  2.64634E-09
  4.750E-02  1.71823E-07  7.80245E-07  1.89940E-07  2.98042E-10  7.25573E-11  9.99796E-10  3.63255E-10
  5.000E-02  1.90386E-07  7.51951E-07  1.88678E-07  3.02352E-10  7.58689E-11  5.94631E-10  2.87293E-09
  5.250E-02  2.09900E-07  7.24661E-07  1.87380E-07  3.05948E-10  7.91144E-11  2.47457E-10  3.22672E-09
  5.500E-02  2.30367E-07  6.98376E-07  1.86049E-07  3.08891E-10  8.22928E-11  9.30127E-10  1.34238E-09
  5.750E-02  2.51785E-07  6.73086E-07  1.84687E-07  3.11238E-10  8.54036E-11  9.57699E-10  1.34439E-09
  6.000E-02  2.74156E-07  6.48775E-07  1.83297E-07  3.13039E-10  8.84460E-11  2.93480E-10  2.94422E-09
