 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  47,   projectile: electron
 #  Kinetic energy = 5.05000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  2.500E-01  4.75964E-06  7.02819E-08  4.38364E-08  1.39247E-10  8.68569E-11  2.88052E-09  1.39181E-09
  2.750E-01  5.75916E-06  5.88210E-08  4.01251E-08  1.28195E-10  8.74544E-11  2.81044E-10  2.59357E-09
  3.000E-01  6.85388E-06  4.98989E-08  3.68561E-08  1.18636E-10  8.76329E-11  3.13686E-09  1.74467E-09
  3.250E-01  8.04378E-06  4.27805E-08  3.39645E-08  1.10189E-10  8.74878E-11  4.47663E-09  5.06501E-10
  3.500E-01  9.32888E-06  3.69744E-08  3.13929E-08  1.02560E-10  8.70847E-11  2.16223E-09  2.38720E-09
  3.750E-01  1.07092E-05  3.21503E-08  2.90931E-08  9.55492E-11  8.64703E-11  2.42266E-09  2.39632E-09
  4.000E-01  1.21846E-05  2.80833E-08  2.70253E-08  8.90266E-11  8.56801E-11  5.67243E-09  4.94854E-10
  4.250E-01  1.37553E-05  2.46166E-08  2.51572E-08  8.29143E-11  8.47431E-11  4.56694E-09  1.84095E-09
  4.500E-01  1.54212E-05  2.16377E-08  2.34626E-08  7.71680E-11  8.36844E-11  6.09406E-10  2.75910E-09
  4.750E-01  1.71822E-05  1.90633E-08  2.19200E-08  7.17639E-11  8.25266E-11  6.02034E-09  1.49252E-09
  5.000E-01  1.90385E-05  1.68292E-08  2.05119E-08  6.66884E-11  8.12903E-11  7.07423E-09  1.00325E-09
  5.250E-01  2.09899E-05  1.48847E-08  1.92235E-08  6.19322E-11  7.99942E-11  2.27121E-09  2.76441E-09
  5.500E-01  2.30365E-05  1.31882E-08  1.80424E-08  5.74864E-11  7.86551E-11  5.08523E-09  2.35907E-09
  5.750E-01  2.51783E-05  1.17051E-08  1.69578E-08  5.33412E-11  7.72879E-11  9.08255E-09  4.96357E-11
  6.000E-01  2.74153E-05  1.04064E-08  1.59604E-08  4.94844E-11  7.59053E-11  5.91930E-09  2.36645E-09
  6.250E-01  2.97475E-05  9.26697E-09  1.50419E-08  4.59025E-11  7.45183E-11  2.59229E-09  2.95343E-09
  6.500E-01  3.21749E-05  8.26557E-09  1.41949E-08  4.25799E-11  7.31358E-11  9.89946E-09  1.18818E-09
  6.750E-01  3.46974E-05  7.38378E-09  1.34129E-08  3.95004E-11  7.17652E-11  9.72521E-09  1.57839E-09
  7.000E-01  3.73152E-05  6.60574E-09  1.26899E-08  3.66469E-11  7.04122E-11  1.41156E-09  3.15399E-09
  7.250E-01  4.00281E-05  5.91776E-09  1.20206E-08  3.40026E-11  6.90812E-11  8.92675E-09  2.24353E-09
  7.500E-01  4.28362E-05  5.30805E-09  1.14002E-08  3.15509E-11  6.77755E-11  1.28573E-08  4.86661E-10
  7.750E-01  4.57395E-05  4.76645E-09  1.08243E-08  2.92759E-11  6.64974E-11  6.48570E-09  2.89377E-09
  8.000E-01  4.87380E-05  4.28418E-09  1.02890E-08  2.71624E-11  6.52485E-11  5.84704E-09  3.04196E-09
  8.250E-01  5.18317E-05  3.85370E-09  9.79072E-09  2.51965E-11  6.40295E-11  1.44358E-08  7.60331E-10
  8.500E-01  5.50205E-05  3.46852E-09  9.32628E-09  2.33651E-11  6.28410E-11  1.18337E-08  2.17950E-09
  8.750E-01  5.83045E-05  3.12302E-09  8.89276E-09  2.16562E-11  6.16829E-11  7.49957E-10  3.44005E-09
  9.000E-01  6.16838E-05  2.81237E-09  8.48755E-09  2.00591E-11  6.05548E-11  1.37316E-08  1.97812E-09
